"alpha"	"gamma"	"alphaM"	"gammaM"	"a"	"b"
35.5348	-35.6459	35.52	-35.64	35.52	-35.64
35.537	-35.6421	35.52	-35.64	35.52	-35.64
35.5393	-35.6383	35.52	-35.64	35.52	-35.64
35.5416	-35.6345	35.52	-35.64	35.52	-35.64
35.5438	-35.6307	35.52	-35.64	35.52	-35.64
35.5461	-35.6269	35.52	-35.64	35.52	-35.64
35.5483	-35.6231	35.52	-35.64	35.52	-35.64
35.5506	-35.6193	35.58	-35.64	35.58	-35.64
35.5528	-35.6155	35.58	-35.64	35.58	-35.64
35.5551	-35.6117	35.58	-35.64	35.58	-35.64
35.5573	-35.6079	35.58	-35.58	35.58	-35.58
35.5596	-35.6041	35.58	-35.58	35.58	-35.58
35.5618	-35.6003	35.58	-35.58	35.58	-35.58
35.564	-35.5965	35.58	-35.58	35.58	-35.58
35.5663	-35.5927	35.58	-35.58	35.58	-35.58
35.5685	-35.5889	35.58	-35.58	35.58	-35.58
35.5708	-35.5851	35.58	-35.58	35.58	-35.58
35.573	-35.5813	35.58	-35.58	35.58	-35.58
35.5753	-35.5775	35.58	-35.58	35.58	-35.58
35.5775	-35.5737	35.58	-35.58	35.58	-35.58
35.5798	-35.5699	35.58	-35.58	35.58	-35.58
35.582	-35.5661	35.58	-35.58	35.58	-35.58
35.5843	-35.5624	35.58	-35.58	35.58	-35.58
35.5865	-35.5586	35.58	-35.58	35.58	-35.58
35.5888	-35.5548	35.58	-35.58	35.58	-35.58
35.591	-35.551	35.58	-35.58	35.58	-35.58
35.5933	-35.5472	35.58	-35.52	35.58	-35.52
35.5955	-35.5434	35.58	-35.52	35.58	-35.52
35.5978	-35.5396	35.58	-35.52	35.58	-35.52
35.6	-35.5358	35.58	-35.52	35.58	-35.52
35.6023	-35.532	35.58	-35.52	35.58	-35.52
35.6045	-35.5281	35.58	-35.52	35.58	-35.52
35.6067	-35.5243	35.58	-35.52	35.58	-35.52
35.609	-35.5205	35.58	-35.52	35.58	-35.52
35.6112	-35.5167	35.64	-35.52	35.64	-35.52
35.6135	-35.5129	35.64	-35.52	35.64	-35.52
35.6157	-35.5091	35.64	-35.52	35.64	-35.52
35.618	-35.5053	35.64	-35.52	35.64	-35.52
35.6202	-35.5015	35.64	-35.52	35.64	-35.52
35.6225	-35.4977	35.64	-35.52	35.64	-35.52
35.6247	-35.4939	35.64	-35.52	35.64	-35.52
35.6269	-35.4901	35.64	-35.52	35.64	-35.52
35.6292	-35.4863	35.64	-35.46	35.64	-35.46
35.6314	-35.4825	35.64	-35.46	35.64	-35.46
35.6337	-35.4787	35.64	-35.46	35.64	-35.46
35.6359	-35.4749	35.64	-35.46	35.64	-35.46
35.6382	-35.4711	35.64	-35.46	35.64	-35.46
35.6404	-35.4673	35.64	-35.46	35.64	-35.46
35.6426	-35.4635	35.64	-35.46	35.64	-35.46
35.6449	-35.4597	35.64	-35.46	35.64	-35.46
35.6471	-35.4559	35.64	-35.46	35.64	-35.46
35.6494	-35.4521	35.64	-35.46	35.64	-35.46
35.6516	-35.4483	35.64	-35.46	35.64	-35.46
35.6538	-35.4444	35.64	-35.46	35.64	-35.46
35.6561	-35.4406	35.64	-35.46	35.64	-35.46
35.6583	-35.4368	35.64	-35.46	35.64	-35.46
35.6606	-35.433	35.64	-35.46	35.64	-35.46
35.6628	-35.4292	35.64	-35.4	35.64	-35.4
35.665	-35.4254	35.64	-35.4	35.64	-35.4
35.6673	-35.4216	35.64	-35.4	35.64	-35.4
35.6695	-35.4178	35.64	-35.4	35.64	-35.4
35.6718	-35.414	35.7	-35.4	35.7	-35.4
35.674	-35.4102	35.7	-35.4	35.7	-35.4
35.6762	-35.4064	35.7	-35.4	35.7	-35.4
35.6785	-35.4025	35.7	-35.4	35.7	-35.4
35.6807	-35.3987	35.7	-35.4	35.7	-35.4
35.6829	-35.3949	35.7	-35.4	35.7	-35.4
35.6852	-35.3911	35.7	-35.4	35.7	-35.4
35.6874	-35.3873	35.7	-35.4	35.7	-35.4
35.6897	-35.3835	35.7	-35.4	35.7	-35.4
35.6919	-35.3797	35.7	-35.4	35.7	-35.4
35.6941	-35.3759	35.7	-35.4	35.7	-35.4
35.6964	-35.372	35.7	-35.4	35.7	-35.4
35.6986	-35.3682	35.7	-35.34	35.7	-35.34
35.7008	-35.3644	35.7	-35.34	35.7	-35.34
35.7031	-35.3606	35.7	-35.34	35.7	-35.34
35.7053	-35.3568	35.7	-35.34	35.7	-35.34
35.7076	-35.353	35.7	-35.34	35.7	-35.34
35.7098	-35.3492	35.7	-35.34	35.7	-35.34
35.712	-35.3453	35.7	-35.34	35.7	-35.34
35.7143	-35.3415	35.7	-35.34	35.7	-35.34
35.7165	-35.3377	35.7	-35.34	35.7	-35.34
35.7187	-35.3339	35.7	-35.34	35.7	-35.34
35.721	-35.3301	35.7	-35.34	35.7	-35.34
35.7232	-35.3263	35.7	-35.34	35.7	-35.34
35.7254	-35.3224	35.7	-35.34	35.7	-35.34
35.7277	-35.3186	35.7	-35.34	35.7	-35.34
35.7299	-35.3148	35.7	-35.34	35.7	-35.34
35.7321	-35.311	35.76	-35.34	35.76	-35.34
35.7344	-35.3072	35.76	-35.28	35.76	-35.28
35.7366	-35.3034	35.76	-35.28	35.76	-35.28
35.7388	-35.2995	35.76	-35.28	35.76	-35.28
35.7411	-35.2957	35.76	-35.28	35.76	-35.28
35.7433	-35.2919	35.76	-35.28	35.76	-35.28
35.7455	-35.2881	35.76	-35.28	35.76	-35.28
35.7478	-35.2843	35.76	-35.28	35.76	-35.28
35.75	-35.2804	35.76	-35.28	35.76	-35.28
35.7522	-35.2766	35.76	-35.28	35.76	-35.28
35.7545	-35.2728	35.76	-35.28	35.76	-35.28
35.7567	-35.269	35.76	-35.28	35.76	-35.28
35.7589	-35.2652	35.76	-35.28	35.76	-35.28
35.7611	-35.2613	35.76	-35.28	35.76	-35.28
35.7634	-35.2575	35.76	-35.28	35.76	-35.28
35.7656	-35.2537	35.76	-35.28	35.76	-35.28
35.7678	-35.2499	35.76	-35.22	35.76	-35.22
35.7701	-35.246	35.76	-35.22	35.76	-35.22
35.7723	-35.2422	35.76	-35.22	35.76	-35.22
35.7745	-35.2384	35.76	-35.22	35.76	-35.22
35.7768	-35.2346	35.76	-35.22	35.76	-35.22
35.779	-35.2307	35.76	-35.22	35.76	-35.22
35.7812	-35.2269	35.76	-35.22	35.76	-35.22
35.7834	-35.2231	35.76	-35.22	35.76	-35.22
35.7857	-35.2193	35.76	-35.22	35.76	-35.22
35.7879	-35.2154	35.76	-35.22	35.76	-35.22
35.7901	-35.2116	35.82	-35.22	35.82	-35.22
35.7924	-35.2078	35.82	-35.22	35.82	-35.22
35.7946	-35.204	35.82	-35.22	35.82	-35.22
35.7968	-35.2001	35.82	-35.22	35.82	-35.22
35.799	-35.1963	35.82	-35.22	35.82	-35.22
35.8013	-35.1925	35.82	-35.22	35.82	-35.22
35.8035	-35.1887	35.82	-35.16	35.82	-35.16
35.8057	-35.1848	35.82	-35.16	35.82	-35.16
35.8079	-35.181	35.82	-35.16	35.82	-35.16
35.8102	-35.1772	35.82	-35.16	35.82	-35.16
35.8124	-35.1733	35.82	-35.16	35.82	-35.16
35.8146	-35.1695	35.82	-35.16	35.82	-35.16
35.8168	-35.1657	35.82	-35.16	35.82	-35.16
35.8191	-35.1619	35.82	-35.16	35.82	-35.16
35.8213	-35.158	35.82	-35.16	35.82	-35.16
35.8235	-35.1542	35.82	-35.16	35.82	-35.16
35.8257	-35.1504	35.82	-35.16	35.82	-35.16
35.828	-35.1465	35.82	-35.16	35.82	-35.16
35.8302	-35.1427	35.82	-35.16	35.82	-35.16
35.8324	-35.1389	35.82	-35.16	35.82	-35.16
35.8346	-35.135	35.82	-35.16	35.82	-35.16
35.8369	-35.1312	35.82	-35.16	35.82	-35.16
35.8391	-35.1274	35.82	-35.1	35.82	-35.1
35.8413	-35.1235	35.82	-35.1	35.82	-35.1
35.8435	-35.1197	35.82	-35.1	35.82	-35.1
35.8458	-35.1159	35.82	-35.1	35.82	-35.1
35.848	-35.112	35.82	-35.1	35.82	-35.1
35.8502	-35.1082	35.88	-35.1	35.88	-35.1
35.8524	-35.1044	35.88	-35.1	35.88	-35.1
35.8546	-35.1005	35.88	-35.1	35.88	-35.1
35.8569	-35.0967	35.88	-35.1	35.88	-35.1
35.8591	-35.0929	35.88	-35.1	35.88	-35.1
35.8613	-35.089	35.88	-35.1	35.88	-35.1
35.8635	-35.0852	35.88	-35.1	35.88	-35.1
35.8657	-35.0814	35.88	-35.1	35.88	-35.1
35.868	-35.0775	35.88	-35.1	35.88	-35.1
35.8702	-35.0737	35.88	-35.1	35.88	-35.1
35.8724	-35.0699	35.88	-35.04	35.88	-35.04
35.8746	-35.066	35.88	-35.04	35.88	-35.04
35.8768	-35.0622	35.88	-35.04	35.88	-35.04
35.8791	-35.0584	35.88	-35.04	35.88	-35.04
35.8813	-35.0545	35.88	-35.04	35.88	-35.04
35.8835	-35.0507	35.88	-35.04	35.88	-35.04
35.8857	-35.0468	35.88	-35.04	35.88	-35.04
35.8879	-35.043	35.88	-35.04	35.88	-35.04
35.8902	-35.0392	35.88	-35.04	35.88	-35.04
35.8924	-35.0353	35.88	-35.04	35.88	-35.04
35.8946	-35.0315	35.88	-35.04	35.88	-35.04
35.8968	-35.0276	35.88	-35.04	35.88	-35.04
35.899	-35.0238	35.88	-35.04	35.88	-35.04
35.9012	-35.02	35.88	-35.04	35.88	-35.04
35.9035	-35.0161	35.88	-35.04	35.88	-35.04
35.9057	-35.0123	35.88	-35.04	35.88	-35.04
35.9079	-35.0084	35.88	-34.98	35.88	-34.98
35.9101	-35.0046	35.94	-34.98	35.94	-34.98
35.9123	-35.0008	35.94	-34.98	35.94	-34.98
35.9145	-34.9969	35.94	-34.98	35.94	-34.98
35.9168	-34.9931	35.94	-34.98	35.94	-34.98
35.919	-34.9892	35.94	-34.98	35.94	-34.98
35.9212	-34.9854	35.94	-34.98	35.94	-34.98
35.9234	-34.9815	35.94	-34.98	35.94	-34.98
35.9256	-34.9777	35.94	-34.98	35.94	-34.98
35.9278	-34.9739	35.94	-34.98	35.94	-34.98
35.9301	-34.97	35.94	-34.98	35.94	-34.98
35.9323	-34.9662	35.94	-34.98	35.94	-34.98
35.9345	-34.9623	35.94	-34.98	35.94	-34.98
35.9367	-34.9585	35.94	-34.98	35.94	-34.98
35.9389	-34.9546	35.94	-34.98	35.94	-34.98
35.9411	-34.9508	35.94	-34.98	35.94	-34.98
35.9433	-34.9469	35.94	-34.92	35.94	-34.92
35.9456	-34.9431	35.94	-34.92	35.94	-34.92
35.9478	-34.9392	35.94	-34.92	35.94	-34.92
35.95	-34.9354	35.94	-34.92	35.94	-34.92
35.9522	-34.9316	35.94	-34.92	35.94	-34.92
35.9544	-34.9277	35.94	-34.92	35.94	-34.92
35.9566	-34.9239	35.94	-34.92	35.94	-34.92
35.9588	-34.92	35.94	-34.92	35.94	-34.92
35.961	-34.9162	35.94	-34.92	35.94	-34.92
35.9632	-34.9123	35.94	-34.92	35.94	-34.92
35.9655	-34.9085	35.94	-34.92	35.94	-34.92
35.9677	-34.9046	35.94	-34.92	35.94	-34.92
35.9699	-34.9008	35.94	-34.92	35.94	-34.92
35.9721	-34.8969	36	-34.92	36	-34.92
35.9743	-34.8931	36	-34.92	36	-34.92
35.9765	-34.8892	36	-34.86	36	-34.86
35.9787	-34.8854	36	-34.86	36	-34.86
35.9809	-34.8815	36	-34.86	36	-34.86
35.9831	-34.8777	36	-34.86	36	-34.86
35.9853	-34.8738	36	-34.86	36	-34.86
35.9876	-34.87	36	-34.86	36	-34.86
35.9898	-34.8661	36	-34.86	36	-34.86
35.992	-34.8623	36	-34.86	36	-34.86
35.9942	-34.8584	36	-34.86	36	-34.86
35.9964	-34.8545	36	-34.86	36	-34.86
35.9986	-34.8507	36	-34.86	36	-34.86
36.0008	-34.8468	36	-34.86	36	-34.86
36.003	-34.843	36	-34.86	36	-34.86
36.0052	-34.8391	36	-34.86	36	-34.86
36.0074	-34.8353	36	-34.86	36	-34.86
36.0096	-34.8314	36	-34.86	36	-34.86
36.0118	-34.8276	36	-34.8	36	-34.8
36.014	-34.8237	36	-34.8	36	-34.8
36.0163	-34.8199	36	-34.8	36	-34.8
36.0185	-34.816	36	-34.8	36	-34.8
36.0207	-34.8121	36	-34.8	36	-34.8
36.0229	-34.8083	36	-34.8	36	-34.8
36.0251	-34.8044	36	-34.8	36	-34.8
36.0273	-34.8006	36	-34.8	36	-34.8
36.0295	-34.7967	36	-34.8	36	-34.8
36.0317	-34.7929	36.06	-34.8	36.06	-34.8
36.0339	-34.789	36.06	-34.8	36.06	-34.8
36.0361	-34.7851	36.06	-34.8	36.06	-34.8
36.0383	-34.7813	36.06	-34.8	36.06	-34.8
36.0405	-34.7774	36.06	-34.8	36.06	-34.8
36.0427	-34.7736	36.06	-34.8	36.06	-34.8
36.0449	-34.7697	36.06	-34.74	36.06	-34.74
36.0471	-34.7658	36.06	-34.74	36.06	-34.74
36.0493	-34.762	36.06	-34.74	36.06	-34.74
36.0515	-34.7581	36.06	-34.74	36.06	-34.74
36.0537	-34.7543	36.06	-34.74	36.06	-34.74
36.0559	-34.7504	36.06	-34.74	36.06	-34.74
36.0581	-34.7465	36.06	-34.74	36.06	-34.74
36.0603	-34.7427	36.06	-34.74	36.06	-34.74
36.0625	-34.7388	36.06	-34.74	36.06	-34.74
36.0647	-34.735	36.06	-34.74	36.06	-34.74
36.0669	-34.7311	36.06	-34.74	36.06	-34.74
36.0691	-34.7272	36.06	-34.74	36.06	-34.74
36.0713	-34.7234	36.06	-34.74	36.06	-34.74
36.0735	-34.7195	36.06	-34.74	36.06	-34.74
36.0757	-34.7156	36.06	-34.74	36.06	-34.74
36.0779	-34.7118	36.06	-34.74	36.06	-34.74
36.0801	-34.7079	36.06	-34.68	36.06	-34.68
36.0823	-34.704	36.06	-34.68	36.06	-34.68
36.0845	-34.7002	36.06	-34.68	36.06	-34.68
36.0867	-34.6963	36.06	-34.68	36.06	-34.68
36.0889	-34.6925	36.06	-34.68	36.06	-34.68
36.0911	-34.6886	36.12	-34.68	36.12	-34.68
36.0933	-34.6847	36.12	-34.68	36.12	-34.68
36.0955	-34.6809	36.12	-34.68	36.12	-34.68
36.0977	-34.677	36.12	-34.68	36.12	-34.68
36.0999	-34.6731	36.12	-34.68	36.12	-34.68
36.1021	-34.6693	36.12	-34.68	36.12	-34.68
36.1043	-34.6654	36.12	-34.68	36.12	-34.68
36.1065	-34.6615	36.12	-34.68	36.12	-34.68
36.1087	-34.6576	36.12	-34.68	36.12	-34.68
36.1109	-34.6538	36.12	-34.68	36.12	-34.68
36.1131	-34.6499	36.12	-34.62	36.12	-34.62
36.1153	-34.646	36.12	-34.62	36.12	-34.62
36.1175	-34.6422	36.12	-34.62	36.12	-34.62
36.1197	-34.6383	36.12	-34.62	36.12	-34.62
36.1219	-34.6344	36.12	-34.62	36.12	-34.62
36.1241	-34.6306	36.12	-34.62	36.12	-34.62
36.1263	-34.6267	36.12	-34.62	36.12	-34.62
36.1285	-34.6228	36.12	-34.62	36.12	-34.62
36.1307	-34.619	36.12	-34.62	36.12	-34.62
36.1329	-34.6151	36.12	-34.62	36.12	-34.62
36.1351	-34.6112	36.12	-34.62	36.12	-34.62
36.1373	-34.6073	36.12	-34.62	36.12	-34.62
36.1395	-34.6035	36.12	-34.62	36.12	-34.62
36.1417	-34.5996	36.12	-34.62	36.12	-34.62
36.1439	-34.5957	36.12	-34.62	36.12	-34.62
36.146	-34.5918	36.12	-34.62	36.12	-34.62
36.1482	-34.588	36.12	-34.56	36.12	-34.56
36.1504	-34.5841	36.18	-34.56	36.18	-34.56
36.1526	-34.5802	36.18	-34.56	36.18	-34.56
36.1548	-34.5764	36.18	-34.56	36.18	-34.56
36.157	-34.5725	36.18	-34.56	36.18	-34.56
36.1592	-34.5686	36.18	-34.56	36.18	-34.56
36.1614	-34.5647	36.18	-34.56	36.18	-34.56
36.1636	-34.5609	36.18	-34.56	36.18	-34.56
36.1658	-34.557	36.18	-34.56	36.18	-34.56
36.168	-34.5531	36.18	-34.56	36.18	-34.56
36.1702	-34.5492	36.18	-34.56	36.18	-34.56
36.1724	-34.5453	36.18	-34.56	36.18	-34.56
36.1745	-34.5415	36.18	-34.56	36.18	-34.56
36.1767	-34.5376	36.18	-34.56	36.18	-34.56
36.1789	-34.5337	36.18	-34.56	36.18	-34.56
36.1811	-34.5298	36.18	-34.5	36.18	-34.5
36.1833	-34.526	36.18	-34.5	36.18	-34.5
36.1855	-34.5221	36.18	-34.5	36.18	-34.5
36.1877	-34.5182	36.18	-34.5	36.18	-34.5
36.1899	-34.5143	36.18	-34.5	36.18	-34.5
36.1921	-34.5104	36.18	-34.5	36.18	-34.5
36.1943	-34.5066	36.18	-34.5	36.18	-34.5
36.1964	-34.5027	36.18	-34.5	36.18	-34.5
36.1986	-34.4988	36.18	-34.5	36.18	-34.5
36.2008	-34.4949	36.18	-34.5	36.18	-34.5
36.203	-34.491	36.18	-34.5	36.18	-34.5
36.2052	-34.4872	36.18	-34.5	36.18	-34.5
36.2074	-34.4833	36.18	-34.5	36.18	-34.5
36.2096	-34.4794	36.18	-34.5	36.18	-34.5
36.2118	-34.4755	36.24	-34.5	36.24	-34.5
36.2139	-34.4716	36.24	-34.5	36.24	-34.5
36.2161	-34.4678	36.24	-34.44	36.24	-34.44
36.2183	-34.4639	36.24	-34.44	36.24	-34.44
36.2205	-34.46	36.24	-34.44	36.24	-34.44
36.2227	-34.4561	36.24	-34.44	36.24	-34.44
36.2249	-34.4522	36.24	-34.44	36.24	-34.44
36.2271	-34.4483	36.24	-34.44	36.24	-34.44
36.2292	-34.4445	36.24	-34.44	36.24	-34.44
36.2314	-34.4406	36.24	-34.44	36.24	-34.44
36.2336	-34.4367	36.24	-34.44	36.24	-34.44
36.2358	-34.4328	36.24	-34.44	36.24	-34.44
36.238	-34.4289	36.24	-34.44	36.24	-34.44
36.2402	-34.425	36.24	-34.44	36.24	-34.44
36.2424	-34.4211	36.24	-34.44	36.24	-34.44
36.2445	-34.4173	36.24	-34.44	36.24	-34.44
36.2467	-34.4134	36.24	-34.44	36.24	-34.44
36.2489	-34.4095	36.24	-34.38	36.24	-34.38
36.2511	-34.4056	36.24	-34.38	36.24	-34.38
36.2533	-34.4017	36.24	-34.38	36.24	-34.38
36.2555	-34.3978	36.24	-34.38	36.24	-34.38
36.2576	-34.3939	36.24	-34.38	36.24	-34.38
36.2598	-34.39	36.24	-34.38	36.24	-34.38
36.262	-34.3862	36.24	-34.38	36.24	-34.38
36.2642	-34.3823	36.24	-34.38	36.24	-34.38
36.2664	-34.3784	36.24	-34.38	36.24	-34.38
36.2685	-34.3745	36.24	-34.38	36.24	-34.38
36.2707	-34.3706	36.3	-34.38	36.3	-34.38
36.2729	-34.3667	36.3	-34.38	36.3	-34.38
36.2751	-34.3628	36.3	-34.38	36.3	-34.38
36.2773	-34.3589	36.3	-34.38	36.3	-34.38
36.2795	-34.355	36.3	-34.38	36.3	-34.38
36.2816	-34.3511	36.3	-34.38	36.3	-34.38
36.2838	-34.3472	36.3	-34.32	36.3	-34.32
36.286	-34.3434	36.3	-34.32	36.3	-34.32
36.2882	-34.3395	36.3	-34.32	36.3	-34.32
36.2903	-34.3356	36.3	-34.32	36.3	-34.32
36.2925	-34.3317	36.3	-34.32	36.3	-34.32
36.2947	-34.3278	36.3	-34.32	36.3	-34.32
36.2969	-34.3239	36.3	-34.32	36.3	-34.32
36.2991	-34.32	36.3	-34.32	36.3	-34.32
36.3012	-34.3161	36.3	-34.32	36.3	-34.32
36.3034	-34.3122	36.3	-34.32	36.3	-34.32
36.3056	-34.3083	36.3	-34.32	36.3	-34.32
36.3078	-34.3044	36.3	-34.32	36.3	-34.32
36.31	-34.3005	36.3	-34.32	36.3	-34.32
36.3121	-34.2966	36.3	-34.32	36.3	-34.32
36.3143	-34.2927	36.3	-34.32	36.3	-34.32
36.3165	-34.2888	36.3	-34.26	36.3	-34.26
36.3187	-34.2849	36.3	-34.26	36.3	-34.26
36.3208	-34.281	36.3	-34.26	36.3	-34.26
36.323	-34.2771	36.3	-34.26	36.3	-34.26
36.3252	-34.2732	36.3	-34.26	36.3	-34.26
36.3274	-34.2694	36.3	-34.26	36.3	-34.26
36.3295	-34.2655	36.3	-34.26	36.3	-34.26
36.3317	-34.2616	36.36	-34.26	36.36	-34.26
36.3339	-34.2577	36.36	-34.26	36.36	-34.26
36.3361	-34.2538	36.36	-34.26	36.36	-34.26
36.3382	-34.2499	36.36	-34.26	36.36	-34.26
36.3404	-34.246	36.36	-34.26	36.36	-34.26
36.3426	-34.2421	36.36	-34.26	36.36	-34.26
36.3448	-34.2382	36.36	-34.26	36.36	-34.26
36.3469	-34.2343	36.36	-34.26	36.36	-34.26
36.3491	-34.2304	36.36	-34.26	36.36	-34.26
36.3513	-34.2265	36.36	-34.2	36.36	-34.2
36.3535	-34.2226	36.36	-34.2	36.36	-34.2
36.3556	-34.2187	36.36	-34.2	36.36	-34.2
36.3578	-34.2148	36.36	-34.2	36.36	-34.2
36.36	-34.2109	36.36	-34.2	36.36	-34.2
36.3621	-34.2069	36.36	-34.2	36.36	-34.2
36.3643	-34.203	36.36	-34.2	36.36	-34.2
36.3665	-34.1991	36.36	-34.2	36.36	-34.2
36.3687	-34.1952	36.36	-34.2	36.36	-34.2
36.3708	-34.1913	36.36	-34.2	36.36	-34.2
36.373	-34.1874	36.36	-34.2	36.36	-34.2
36.3752	-34.1835	36.36	-34.2	36.36	-34.2
36.3773	-34.1796	36.36	-34.2	36.36	-34.2
36.3795	-34.1757	36.36	-34.2	36.36	-34.2
36.3817	-34.1718	36.36	-34.2	36.36	-34.2
36.3839	-34.1679	36.36	-34.14	36.36	-34.14
36.386	-34.164	36.36	-34.14	36.36	-34.14
36.3882	-34.1601	36.36	-34.14	36.36	-34.14
36.3904	-34.1562	36.42	-34.14	36.42	-34.14
36.3925	-34.1523	36.42	-34.14	36.42	-34.14
36.3947	-34.1484	36.42	-34.14	36.42	-34.14
36.3969	-34.1445	36.42	-34.14	36.42	-34.14
36.399	-34.1406	36.42	-34.14	36.42	-34.14
36.4012	-34.1367	36.42	-34.14	36.42	-34.14
36.4034	-34.1327	36.42	-34.14	36.42	-34.14
36.4055	-34.1288	36.42	-34.14	36.42	-34.14
36.4077	-34.1249	36.42	-34.14	36.42	-34.14
36.4099	-34.121	36.42	-34.14	36.42	-34.14
36.412	-34.1171	36.42	-34.14	36.42	-34.14
36.4142	-34.1132	36.42	-34.14	36.42	-34.14
36.4164	-34.1093	36.42	-34.08	36.42	-34.08
36.4185	-34.1054	36.42	-34.08	36.42	-34.08
36.4207	-34.1015	36.42	-34.08	36.42	-34.08
36.4229	-34.0976	36.42	-34.08	36.42	-34.08
36.425	-34.0937	36.42	-34.08	36.42	-34.08
36.4272	-34.0897	36.42	-34.08	36.42	-34.08
36.4294	-34.0858	36.42	-34.08	36.42	-34.08
36.4315	-34.0819	36.42	-34.08	36.42	-34.08
36.4337	-34.078	36.42	-34.08	36.42	-34.08
36.4359	-34.0741	36.42	-34.08	36.42	-34.08
36.438	-34.0702	36.42	-34.08	36.42	-34.08
36.4402	-34.0663	36.42	-34.08	36.42	-34.08
36.4424	-34.0624	36.42	-34.08	36.42	-34.08
36.4445	-34.0584	36.42	-34.08	36.42	-34.08
36.4467	-34.0545	36.42	-34.08	36.42	-34.08
36.4489	-34.0506	36.42	-34.08	36.42	-34.08
36.451	-34.0467	36.48	-34.02	36.48	-34.02
36.4532	-34.0428	36.48	-34.02	36.48	-34.02
36.4553	-34.0389	36.48	-34.02	36.48	-34.02
36.4575	-34.035	36.48	-34.02	36.48	-34.02
36.4597	-34.031	36.48	-34.02	36.48	-34.02
36.4618	-34.0271	36.48	-34.02	36.48	-34.02
36.464	-34.0232	36.48	-34.02	36.48	-34.02
36.4662	-34.0193	36.48	-34.02	36.48	-34.02
36.4683	-34.0154	36.48	-34.02	36.48	-34.02
36.4705	-34.0115	36.48	-34.02	36.48	-34.02
36.4726	-34.0075	36.48	-34.02	36.48	-34.02
36.4748	-34.0036	36.48	-34.02	36.48	-34.02
36.477	-33.9997	36.48	-34.02	36.48	-34.02
36.4791	-33.9958	36.48	-34.02	36.48	-34.02
36.4813	-33.9919	36.48	-34.02	36.48	-34.02
36.4834	-33.9879	36.48	-33.96	36.48	-33.96
36.4856	-33.984	36.48	-33.96	36.48	-33.96
36.4878	-33.9801	36.48	-33.96	36.48	-33.96
36.4899	-33.9762	36.48	-33.96	36.48	-33.96
36.4921	-33.9723	36.48	-33.96	36.48	-33.96
36.4942	-33.9683	36.48	-33.96	36.48	-33.96
36.4964	-33.9644	36.48	-33.96	36.48	-33.96
36.4986	-33.9605	36.48	-33.96	36.48	-33.96
36.5007	-33.9566	36.48	-33.96	36.48	-33.96
36.5029	-33.9527	36.48	-33.96	36.48	-33.96
36.505	-33.9487	36.48	-33.96	36.48	-33.96
36.5072	-33.9448	36.48	-33.96	36.48	-33.96
36.5093	-33.9409	36.48	-33.96	36.48	-33.96
36.5115	-33.937	36.54	-33.96	36.54	-33.96
36.5137	-33.933	36.54	-33.96	36.54	-33.96
36.5158	-33.9291	36.54	-33.9	36.54	-33.9
36.518	-33.9252	36.54	-33.9	36.54	-33.9
36.5201	-33.9213	36.54	-33.9	36.54	-33.9
36.5223	-33.9174	36.54	-33.9	36.54	-33.9
36.5244	-33.9134	36.54	-33.9	36.54	-33.9
36.5266	-33.9095	36.54	-33.9	36.54	-33.9
36.5288	-33.9056	36.54	-33.9	36.54	-33.9
36.5309	-33.9017	36.54	-33.9	36.54	-33.9
36.5331	-33.8977	36.54	-33.9	36.54	-33.9
36.5352	-33.8938	36.54	-33.9	36.54	-33.9
36.5374	-33.8899	36.54	-33.9	36.54	-33.9
36.5395	-33.8859	36.54	-33.9	36.54	-33.9
36.5417	-33.882	36.54	-33.9	36.54	-33.9
36.5438	-33.8781	36.54	-33.9	36.54	-33.9
36.546	-33.8742	36.54	-33.9	36.54	-33.9
36.5481	-33.8702	36.54	-33.9	36.54	-33.9
36.5503	-33.8663	36.54	-33.84	36.54	-33.84
36.5524	-33.8624	36.54	-33.84	36.54	-33.84
36.5546	-33.8585	36.54	-33.84	36.54	-33.84
36.5568	-33.8545	36.54	-33.84	36.54	-33.84
36.5589	-33.8506	36.54	-33.84	36.54	-33.84
36.5611	-33.8467	36.54	-33.84	36.54	-33.84
36.5632	-33.8427	36.54	-33.84	36.54	-33.84
36.5654	-33.8388	36.54	-33.84	36.54	-33.84
36.5675	-33.8349	36.54	-33.84	36.54	-33.84
36.5697	-33.8309	36.54	-33.84	36.54	-33.84
36.5718	-33.827	36.6	-33.84	36.6	-33.84
36.574	-33.8231	36.6	-33.84	36.6	-33.84
36.5761	-33.8191	36.6	-33.84	36.6	-33.84
36.5783	-33.8152	36.6	-33.84	36.6	-33.84
36.5804	-33.8113	36.6	-33.84	36.6	-33.84
36.5826	-33.8074	36.6	-33.78	36.6	-33.78
36.5847	-33.8034	36.6	-33.78	36.6	-33.78
36.5869	-33.7995	36.6	-33.78	36.6	-33.78
36.589	-33.7956	36.6	-33.78	36.6	-33.78
36.5912	-33.7916	36.6	-33.78	36.6	-33.78
36.5933	-33.7877	36.6	-33.78	36.6	-33.78
36.5955	-33.7838	36.6	-33.78	36.6	-33.78
36.5976	-33.7798	36.6	-33.78	36.6	-33.78
36.5998	-33.7759	36.6	-33.78	36.6	-33.78
36.6019	-33.7719	36.6	-33.78	36.6	-33.78
36.6041	-33.768	36.6	-33.78	36.6	-33.78
36.6062	-33.7641	36.6	-33.78	36.6	-33.78
